Purpose;CurbWeight;A;B;C;D;E;F;G;H;N;Unknown;NOGA_LWE;NOGA_letter;b_LowDen;b_Res;b_Inter;b_EmpNode;b_intra;b_tt_0_first;b_tt_0;b_tt_20;b_tt_40;b_tt_target_to_base;b_jobs;b_size
Service;X;1;1;;1;1;1;;;;1;Other;Other;0.9312863;0.377773893;0.387516699;0;-1.500914234;-0.141454992;-0.148790193;0.017445416;0.064012023;-0.044235934;1.236802793;0.760490941
Service;X;;;1;;;;;;;;3;C;0.9312863;0.377773893;0.387516699;0;-1.500914234;-0.141454992;-0.148790193;0.017445416;0.064012023;-0.044235934;1.236802793;0.760490941
Service;X;;;;;;;1;;;;7;G;0.9312863;0.377773893;0.387516699;0;-1.500914234;-0.141454992;-0.148790193;0.017445416;0.064012023;-0.044235934;1.236802793;0.760490941
Service;X;;;;;;;;1;;;8;H;0.9312863;0.377773893;0.387516699;0;-1.500914234;-0.141454992;-0.148790193;0.017445416;0.064012023;-0.044235934;1.236802793;0.760490941
Service;X;;;;;;;;;1;;14;N;0.9312863;0.377773893;0.387516699;0;-1.500914234;-0.141454992;-0.148790193;0.017445416;0.064012023;-0.044235934;1.236802793;0.760490941
Goods;Light;1;1;;1;1;1;;;;;Other;Other;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Light;;;1;;;;;;;;3;C;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Light;;;;;;;1;;;;7;G;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Light;;;;;;;;1;;;8;H;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Light;;;;;;;;;1;;14;N;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Light;;;;;;;;;;1;100;Unknown;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Heavy;1;1;;1;1;1;;;;;Other;Other;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Heavy;;;1;;;;;;;;3;C;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Heavy;;;;;;;1;;;;7;G;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Heavy;;;;;;;;1;;;8;H;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Heavy;;;;;;;;;1;;14;N;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Goods;Heavy;;;;;;;;;;1;100;Unknown;1.151905114;0.504074782;0.38843075;0;-1.332448239;-0.13237481;-0.149211414;0.011453682;0.070896151;-0.012143844;13.24299172;0.724064542
Other;X;1;1;1;1;1;1;1;1;1;1;Other;Other;0;0;0;0;-0.518097291;-0.133509038;-0.154392411;0;0.07912909;-0.039504586;0;0.53870975
